rank,selection_metric,selection_value,texture_type,method,model,CC,KLD,report_path,stdout_log_path
1,worst_cc,-0.452005,rgb_texture,screen_space,Chips_v1_L3,-0.452005,1.558622,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_screen_space/Chips_v1_L3/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/Chips_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/screen_space/Chips_v1_L3.log
2,worst_cc,-0.393768,rgb_texture,cone,Chips_v1_L3,-0.393768,2.047369,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_cone/Chips_v1_L3/recenter_rotx90p0_horizontaltovertical_blender_rig/Chips_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/cone/Chips_v1_L3.log
3,worst_cc,-0.373703,rgb_texture,cone,Spinning_Top_v1_L3,-0.373703,9.579885,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_cone/Spinning_Top_v1_L3/recenter_rotx90p0_horizontaltovertical_blender_rig/Spinning_Top_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/cone/Spinning_Top_v1_L3.log
4,worst_cc,-0.345298,non_texture,cone,Spinning_Top_v1_L3,-0.345298,8.822186,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/non_texture/baseline_cone/Spinning_Top_v1_L3/recenter_rotx90p0_horizontaltovertical_blender_rig/Spinning_Top_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/non_texture/cone/Spinning_Top_v1_L3.log
5,worst_cc,-0.323537,rgb_texture,screen_space,Spinning_Top_v1_L3,-0.323537,5.692238,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_screen_space/Spinning_Top_v1_L3/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/Spinning_Top_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/screen_space/Spinning_Top_v1_L3.log
6,worst_cc,-0.316092,non_texture,screen_space,Frog_v1_L3,-0.316092,4.528062,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/non_texture/baseline_screen_space/Frog_v1_L3/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/Frog_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/non_texture/screen_space/Frog_v1_L3.log
7,worst_cc,-0.297297,rgb_texture,screen_space,White-TailedDeer_V1_L2,-0.297297,2.494531,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_screen_space/White-TailedDeer_V1_L2/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/White-TailedDeer_V1_L2_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/screen_space/White-TailedDeer_V1_L2.log
8,worst_cc,-0.287397,non_texture,screen_space,Pirate_Shipmate_Old_v1_L1,-0.287397,1.522976,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/non_texture/baseline_screen_space/Pirate_Shipmate_Old_v1_L1/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/Pirate_Shipmate_Old_v1_L1_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/non_texture/screen_space/Pirate_Shipmate_Old_v1_L1.log
9,worst_cc,-0.287285,non_texture,screen_space,Spinning_Top_v1_L3,-0.287285,5.179908,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/non_texture/baseline_screen_space/Spinning_Top_v1_L3/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/Spinning_Top_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/non_texture/screen_space/Spinning_Top_v1_L3.log
10,worst_cc,-0.268759,rgb_texture,cone,Flying_saucer_v1_L3,-0.268759,16.874408,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_cone/Flying_saucer_v1_L3/recenter_rotx90p0_horizontaltovertical_blender_rig/Flying_saucer_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/cone/Flying_saucer_v1_L3.log
