dataset_track,model,has_fixation,has_mesh,has_gt,status,reason
3dva,A380,True,True,True,ok,
3dva,Harley,True,True,True,ok,
3dva,Max-Planck,True,True,True,ok,
3dva,bimba,True,True,True,ok,
3dva,blade-200K,True,True,True,ok,
3dva,bunny,True,True,True,ok,
3dva,camel,True,True,True,ok,
3dva,car-vasa,True,True,True,ok,
3dva,carter,True,True,True,ok,
3dva,casting,True,True,True,ok,
3dva,chair107,True,True,True,ok,
3dva,cow,True,True,True,ok,
3dva,dinosaur-40K,True,True,True,ok,
3dva,dragon,True,True,True,ok,
3dva,fandisk,True,True,True,ok,
3dva,flowerpot,True,True,True,ok,
3dva,gorgoile,True,True,True,ok,
3dva,hand-35K,True,True,True,ok,
3dva,horse-110k,True,True,True,ok,
3dva,house,True,True,True,ok,
3dva,igea-100K,True,True,True,ok,
3dva,james,True,True,True,ok,
3dva,jessi,True,True,True,excluded,manually excluded — no fixation support
3dva,meca-15k,True,True,True,ok,
3dva,michael3,True,True,True,ok,
3dva,michael8,True,True,True,ok,
3dva,octopus,True,True,True,ok,
3dva,prot,True,True,True,ok,
3dva,rockerarm,True,True,True,ok,
3dva,torso,True,True,True,ok,
3dva,turbine,True,True,True,ok,
3dva,vase-15k,True,True,True,ok,
meshmamba_non_texture,Apple_Red_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Aquarium_Deep_Sea_Diver_v1_L1,True,True,N/A,ok,
meshmamba_non_texture,Aquarium_Skull_v1_L1,True,True,N/A,ok,
meshmamba_non_texture,BastetCat_v2_L2,True,True,N/A,ok,
meshmamba_non_texture,Beauceron_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,BellPepper_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Bird_Toucan_V3_L2,True,True,N/A,ok,
meshmamba_non_texture,Bird_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Blackberry_v02_L3,True,True,N/A,ok,
meshmamba_non_texture,Boombox_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,Camel_toy_v03_L3,True,True,N/A,ok,
meshmamba_non_texture,Cardigan_Welsh_Corgi_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Cat_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Charging_Bull_Statue_of_Wall_Street_v1,True,True,N/A,ok,
meshmamba_non_texture,Chinese_coin,True,True,N/A,ok,
meshmamba_non_texture,Chips_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Christmas_Bear,True,True,N/A,ok,
meshmamba_non_texture,CrawlingBaby_v1_L1,True,True,N/A,ok,
meshmamba_non_texture,Deathstroke-obj,True,True,N/A,ok,
meshmamba_non_texture,Diavolo_Mask_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Domestic_cat_V2_L3,True,True,N/A,ok,
meshmamba_non_texture,Eagle_wood_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Elephant_v01_l3,True,True,N/A,ok,
meshmamba_non_texture,Fighter_Jet_SG_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Flying_saucer_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Frog_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Gold_Doubloon_v1_L1,True,True,N/A,ok,
meshmamba_non_texture,GrayAlien_v01_L3,True,True,N/A,ok,
meshmamba_non_texture,Great_Dane_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Gun_Powder_Keg_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Handheld_Game_unit_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Holsteind_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,Horse_v01_L3,True,True,N/A,ok,
meshmamba_non_texture,Hover_Truck_v1_L2,True,True,N/A,ok,
meshmamba_non_texture,Ice_Cream_V1_L3,True,True,N/A,ok,
meshmamba_non_texture,Ichthyosaurus_V1_L2,True,True,N/A,ok,
meshmamba_non_texture,Impact_Driver_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,Jambu_Fruit_Dove_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Jukebox_bubbler_style_V2_L1,True,True,N/A,ok,
meshmamba_non_texture,Kangaroo_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,King_Cake_v2_L2,True,True,N/A,ok,
meshmamba_non_texture,Lamb_v1_L2,True,True,N/A,ok,
meshmamba_non_texture,Laser_Pistol_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,Mango_L3,True,True,N/A,ok,
meshmamba_non_texture,MansWorkCasual_v02_L3,True,True,N/A,ok,
meshmamba_non_texture,Marco_Polo_Sheep_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Military_Action_Figure_SG_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,Moai_v3_L3,True,True,N/A,ok,
meshmamba_non_texture,MushroomShitake_L3,True,True,N/A,ok,
meshmamba_non_texture,Mushroom_v2_L1,True,True,N/A,ok,
meshmamba_non_texture,NYC_Fire_Hydrant_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,Peach_L3,True,True,N/A,ok,
meshmamba_non_texture,Peanut_L3,True,True,N/A,ok,
meshmamba_non_texture,Pear_L3,True,True,N/A,ok,
meshmamba_non_texture,Penguin_V2_L3,True,True,N/A,ok,
meshmamba_non_texture,Pierrot_Mask_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Pirate_Shipmate_Old_v1_L1,True,True,N/A,ok,
meshmamba_non_texture,Plate,True,True,N/A,ok,
meshmamba_non_texture,PoloTeamShirt_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,Possum_wooden_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Raptor_Claw_Fossil_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,Rhinoceros_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Rocket_Ship_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Rubber_Duck_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,SLR_Camera_V1_L3,True,True,N/A,ok,
meshmamba_non_texture,SeaHorse_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,Seagull_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Seal_wooden_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Sheep_doll_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,SittingBaby_v1_L1,True,True,N/A,ok,
meshmamba_non_texture,Sitting_inside_an_egg_v1_L1,True,True,N/A,ok,
meshmamba_non_texture,Soda_Can_v3_L3,True,True,N/A,ok,
meshmamba_non_texture,Spark_Plug_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Spinning_Top_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,Squirrel_wooden_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,StandingBaby_v2_L1,True,True,N/A,ok,
meshmamba_non_texture,Starfruit_L3,True,True,N/A,ok,
meshmamba_non_texture,Statue_v1_L2_David,True,True,N/A,ok,
meshmamba_non_texture,Statue_v1_L2_Venus,True,True,N/A,ok,
meshmamba_non_texture,Statue_v1_L3_eagle,True,True,N/A,ok,
meshmamba_non_texture,Statue_willendorf_V1_L3,True,True,N/A,ok,
meshmamba_non_texture,Stone_Chess_Bishop_Side_A_v2_L1,True,True,N/A,ok,
meshmamba_non_texture,Stone_Chess_Knight_Side_A_v2_L1,True,True,N/A,ok,
meshmamba_non_texture,TomatoBeefSteak_V1_L3,True,True,N/A,ok,
meshmamba_non_texture,Tricorn_Hat_v1_L2,True,True,N/A,ok,
meshmamba_non_texture,UFO_v1_L2,True,True,N/A,ok,
meshmamba_non_texture,Volto_Mask_v1_L2,True,True,N/A,ok,
meshmamba_non_texture,WWII_Plane-Germany_Focke-Wulf_Fw_190_v1,True,True,N/A,ok,
meshmamba_non_texture,Watermelon_V1_L3,True,True,N/A,ok,
meshmamba_non_texture,Whale_v4_L3,True,True,N/A,ok,
meshmamba_non_texture,White-TailedDeer_V1_L2,True,True,N/A,ok,
meshmamba_non_texture,Wicker_Basket_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,ball_car_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,barbiegirl_V1_L3,True,True,N/A,ok,
meshmamba_non_texture,cathedral_wood_radio_v2_L1,True,True,N/A,ok,
meshmamba_non_texture,doll_v3_L3,True,True,N/A,ok,
meshmamba_non_texture,dolphin_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,egypt_sphinx_V2_L3,True,True,N/A,ok,
meshmamba_non_texture,football_v2_L3,True,True,N/A,ok,
meshmamba_non_texture,modern_tabletop_radio_v1_L1,True,True,N/A,ok,
meshmamba_non_texture,robot_v1_L3,True,True,N/A,ok,
meshmamba_non_texture,statue_Terracotta_squat_v2_L1,True,True,N/A,ok,
meshmamba_non_texture,statue_Terracotta_v2_l1,True,True,N/A,ok,
meshmamba_non_texture,stuffed_animal_v1_L2,True,True,N/A,ok,
meshmamba_non_texture,watch_digital_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Apple_Red_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Aquarium_Deep_Sea_Diver_v1_L1,True,True,N/A,ok,
meshmamba_rgb_texture,Aquarium_Skull_v1_L1,True,True,N/A,ok,
meshmamba_rgb_texture,BastetCat_v2_L2,True,True,N/A,ok,
meshmamba_rgb_texture,Beauceron_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,BellPepper_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Bird_Toucan_V3_L2,True,True,N/A,ok,
meshmamba_rgb_texture,Bird_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Blackberry_v02_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Boombox_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Camel_toy_v03_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Cardigan_Welsh_Corgi_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Cat_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Charging_Bull_Statue_of_Wall_Street_v1,True,True,N/A,ok,
meshmamba_rgb_texture,Chinese_coin,True,True,N/A,ok,
meshmamba_rgb_texture,Chips_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Christmas_Bear,True,True,N/A,ok,
meshmamba_rgb_texture,CrawlingBaby_v1_L1,True,True,N/A,ok,
meshmamba_rgb_texture,Deathstroke-obj,True,True,N/A,ok,
meshmamba_rgb_texture,Diavolo_Mask_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Domestic_cat_V2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Eagle_wood_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Elephant_v01_l3,True,True,N/A,ok,
meshmamba_rgb_texture,Fighter_Jet_SG_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Flying_saucer_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Frog_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Gold_Doubloon_v1_L1,True,True,N/A,ok,
meshmamba_rgb_texture,GrayAlien_v01_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Great_Dane_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Gun_Powder_Keg_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Handheld_Game_unit_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Holsteind_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Horse_v01_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Hover_Truck_v1_L2,True,True,N/A,ok,
meshmamba_rgb_texture,Ice_Cream_V1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Ichthyosaurus_V1_L2,True,True,N/A,ok,
meshmamba_rgb_texture,Impact_Driver_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Jambu_Fruit_Dove_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Jukebox_bubbler_style_V2_L1,True,True,N/A,ok,
meshmamba_rgb_texture,Kangaroo_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,King_Cake_v2_L2,True,True,N/A,ok,
meshmamba_rgb_texture,Lamb_v1_L2,True,True,N/A,ok,
meshmamba_rgb_texture,Laser_Pistol_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Mango_L3,True,True,N/A,ok,
meshmamba_rgb_texture,MansWorkCasual_v02_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Marco_Polo_Sheep_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Military_Action_Figure_SG_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Moai_v3_L3,True,True,N/A,ok,
meshmamba_rgb_texture,MushroomShitake_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Mushroom_v2_L1,True,True,N/A,ok,
meshmamba_rgb_texture,NYC_Fire_Hydrant_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Peach_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Peanut_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Pear_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Penguin_V2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Pierrot_Mask_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Pirate_Shipmate_Old_v1_L1,True,True,N/A,ok,
meshmamba_rgb_texture,Plate,True,True,N/A,ok,
meshmamba_rgb_texture,PoloTeamShirt_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Possum_wooden_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Raptor_Claw_Fossil_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Rhinoceros_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Rocket_Ship_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Rubber_Duck_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,SLR_Camera_V1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,SeaHorse_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Seagull_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Seal_wooden_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Sheep_doll_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,SittingBaby_v1_L1,True,True,N/A,ok,
meshmamba_rgb_texture,Sitting_inside_an_egg_v1_L1,True,True,N/A,ok,
meshmamba_rgb_texture,Soda_Can_v3_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Spark_Plug_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Spinning_Top_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Squirrel_wooden_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,StandingBaby_v2_L1,True,True,N/A,ok,
meshmamba_rgb_texture,Starfruit_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Statue_v1_L2_David,True,True,N/A,ok,
meshmamba_rgb_texture,Statue_v1_L2_Venus,True,True,N/A,ok,
meshmamba_rgb_texture,Statue_v1_L3_eagle,True,True,N/A,ok,
meshmamba_rgb_texture,Statue_willendorf_V1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Stone_Chess_Bishop_Side_A_v2_L1,True,True,N/A,ok,
meshmamba_rgb_texture,Stone_Chess_Knight_Side_A_v2_L1,True,True,N/A,ok,
meshmamba_rgb_texture,TomatoBeefSteak_V1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Tricorn_Hat_v1_L2,True,True,N/A,ok,
meshmamba_rgb_texture,UFO_v1_L2,True,True,N/A,ok,
meshmamba_rgb_texture,Volto_Mask_v1_L2,True,True,N/A,ok,
meshmamba_rgb_texture,WWII_Plane-Germany_Focke-Wulf_Fw_190_v1,True,True,N/A,ok,
meshmamba_rgb_texture,Watermelon_V1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,Whale_v4_L3,True,True,N/A,ok,
meshmamba_rgb_texture,White-TailedDeer_V1_L2,True,True,N/A,ok,
meshmamba_rgb_texture,Wicker_Basket_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,ball_car_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,barbiegirl_V1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,cathedral_wood_radio_v2_L1,True,True,N/A,ok,
meshmamba_rgb_texture,doll_v3_L3,True,True,N/A,ok,
meshmamba_rgb_texture,dolphin_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,egypt_sphinx_V2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,football_v2_L3,True,True,N/A,ok,
meshmamba_rgb_texture,modern_tabletop_radio_v1_L1,True,True,N/A,ok,
meshmamba_rgb_texture,robot_v1_L3,True,True,N/A,ok,
meshmamba_rgb_texture,statue_Terracotta_squat_v2_L1,True,True,N/A,ok,
meshmamba_rgb_texture,statue_Terracotta_v2_l1,True,True,N/A,ok,
meshmamba_rgb_texture,stuffed_animal_v1_L2,True,True,N/A,ok,
meshmamba_rgb_texture,watch_digital_v1_L3,True,True,N/A,ok,
sal3d,A380,True,True,N/A,ok,
sal3d,MaxPlanck,True,True,N/A,ok,
sal3d,alien,True,True,N/A,ok,
sal3d,alien2,True,True,N/A,ok,
