job_key,dataset,texture_type,model,method,sigma_screen,sigma_deg,radius_sigma_mult,timing_contract,delay_seconds,frame_offset,fixation_data_tag,release_tag,repo_commit,CC,SIM,KLD,NSS,AUC_Judd,Spearman,MSE,gaze_start_frame,placement_start_frame,turn_frames_used,report_path,stdout_log_path,status,error_type,error_message,elapsed_sec
3dva:A380:cone:cone_d0p15_r2p0,3dva,,A380,cone,,0.15,2.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p15_r2p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.15 --radius-sigma-mult 2.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p15_r2p0 --tag sigma_sweep_cone_d0p15_r2p0,
3dva:A380:cone:cone_d0p15_r3p0,3dva,,A380,cone,,0.15,3.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p15_r3p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.15 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p15_r3p0 --tag sigma_sweep_cone_d0p15_r3p0,
3dva:A380:cone:cone_d0p15_r4p0,3dva,,A380,cone,,0.15,4.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p15_r4p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.15 --radius-sigma-mult 4.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p15_r4p0 --tag sigma_sweep_cone_d0p15_r4p0,
3dva:A380:cone:cone_d0p25_r2p0,3dva,,A380,cone,,0.25,2.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p25_r2p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.25 --radius-sigma-mult 2.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p25_r2p0 --tag sigma_sweep_cone_d0p25_r2p0,
3dva:A380:cone:cone_d0p25_r3p0,3dva,,A380,cone,,0.25,3.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p25_r3p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.25 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p25_r3p0 --tag sigma_sweep_cone_d0p25_r3p0,
3dva:A380:cone:cone_d0p25_r4p0,3dva,,A380,cone,,0.25,4.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p25_r4p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.25 --radius-sigma-mult 4.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p25_r4p0 --tag sigma_sweep_cone_d0p25_r4p0,
3dva:A380:cone:cone_d0p35_r2p0,3dva,,A380,cone,,0.35,2.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p35_r2p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.35 --radius-sigma-mult 2.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p35_r2p0 --tag sigma_sweep_cone_d0p35_r2p0,
3dva:A380:cone:cone_d0p35_r3p0,3dva,,A380,cone,,0.35,3.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p35_r3p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.35 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p35_r3p0 --tag sigma_sweep_cone_d0p35_r3p0,
3dva:A380:cone:cone_d0p35_r4p0,3dva,,A380,cone,,0.35,4.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p35_r4p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.35 --radius-sigma-mult 4.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p35_r4p0 --tag sigma_sweep_cone_d0p35_r4p0,
3dva:A380:cone:cone_d0p5_r2p0,3dva,,A380,cone,,0.5,2.0,one_turn_from_start,0.0,0,processed_fixations_offset0_full_cleaned,v2.0-data-rc3,,,,,,,,,,,,,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p5_r2p0/stdout.log,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 0.5 --radius-sigma-mult 2.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/sigma_sweep_rc3/per_task/3dva/A380/cone_cone_d0p5_r2p0 --tag sigma_sweep_cone_d0p5_r2p0,
