job_key,dataset,model,method,window_mode,delay_seconds,sigma_px,sigma_screen,sigma_deg,radius_sigma_mult,gaze_start_frame,placement_start_frame,turn_frames_used,fps,CC,SIM,KLD,MSE,AUC_Judd,NSS,report_path,git_commit,input_type,timing_contract,fixation_format,fixation_data_tag,status,error_type,error_message,stdout_log_path,elapsed_sec
3dva:A380:cone:center:-0.200:radius_sigma_mult3.0_sigma_deg1.0,3dva,A380,cone,center,-0.2,,,1.0,3.0,30,36,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds -0.2 --frame-offset 30 --sigma-deg 1.0 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcenter_dm0200 --tag ablation_wmcenter_dm0200,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcenter_dm0200/stdout.log,
3dva:A380:cone:center:0.000:radius_sigma_mult3.0_sigma_deg1.0,3dva,A380,cone,center,0.0,,,1.0,3.0,30,30,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 30 --sigma-deg 1.0 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcenter_dp0000 --tag ablation_wmcenter_dp0000,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcenter_dp0000/stdout.log,
3dva:A380:cone:center:0.200:radius_sigma_mult3.0_sigma_deg1.0,3dva,A380,cone,center,0.2,,,1.0,3.0,36,30,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.2 --frame-offset 30 --sigma-deg 1.0 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcenter_dp0200 --tag ablation_wmcenter_dp0200,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcenter_dp0200/stdout.log,
3dva:A380:cone:cut_head:-0.200:radius_sigma_mult3.0_sigma_deg1.0,3dva,A380,cone,cut_head,-0.2,,,1.0,3.0,60,66,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds -0.2 --frame-offset 60 --sigma-deg 1.0 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_head_dm0200 --tag ablation_wmcut_head_dm0200,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_head_dm0200/stdout.log,
3dva:A380:cone:cut_head:0.000:radius_sigma_mult3.0_sigma_deg1.0,3dva,A380,cone,cut_head,0.0,,,1.0,3.0,60,60,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 60 --sigma-deg 1.0 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_head_dp0000 --tag ablation_wmcut_head_dp0000,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_head_dp0000/stdout.log,
3dva:A380:cone:cut_head:0.200:radius_sigma_mult3.0_sigma_deg1.0,3dva,A380,cone,cut_head,0.2,,,1.0,3.0,66,60,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.2 --frame-offset 60 --sigma-deg 1.0 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_head_dp0200 --tag ablation_wmcut_head_dp0200,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_head_dp0200/stdout.log,
3dva:A380:cone:cut_tail:-0.200:radius_sigma_mult3.0_sigma_deg1.0,3dva,A380,cone,cut_tail,-0.2,,,1.0,3.0,0,6,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds -0.2 --frame-offset 0 --sigma-deg 1.0 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_tail_dm0200 --tag ablation_wmcut_tail_dm0200,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_tail_dm0200/stdout.log,
3dva:A380:cone:cut_tail:0.000:radius_sigma_mult3.0_sigma_deg1.0,3dva,A380,cone,cut_tail,0.0,,,1.0,3.0,0,0,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.0 --frame-offset 0 --sigma-deg 1.0 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_tail_dp0000 --tag ablation_wmcut_tail_dp0000,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_tail_dp0000/stdout.log,
3dva:A380:cone:cut_tail:0.200:radius_sigma_mult3.0_sigma_deg1.0,3dva,A380,cone,cut_tail,0.2,,,1.0,3.0,6,0,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/cone_projection_on_mesh/eval_3dva_cone_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds 0.2 --frame-offset 0 --sigma-deg 1.0 --radius-sigma-mult 3.0 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_tail_dp0200 --tag ablation_wmcut_tail_dp0200,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/cone_wmcut_tail_dp0200/stdout.log,
3dva:A380:screen_space:center:-0.200:sigma_px26.3,3dva,A380,screen_space,center,-0.2,26.3,,,,30,36,450,30,,,,,,,,,,one_turn_from_start,,,ok,dry_run,/opt/homebrew/opt/python@3.14/bin/python3.14 /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/reprojection_methods/screen_space_gaussian/eval_3dva_screen_space_combined.py --models A380 --timing-contract one_turn_from_start --delay-seconds -0.2 --frame-offset 30 --sigma-px 26.3 --output-dir /Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/screen_space_wmcenter_dm0200 --tag ablation_wmcenter_dm0200,/Users/admin/Documents/LAB/SALIENCY_code/#meshes_2.0/GITHUB/Mesh-Saliency-Projection/results/ablation_window_delay/per_task/3dva/A380/screen_space_wmcenter_dm0200/stdout.log,
