rank,selection_metric,selection_value,texture_type,method,model,CC,KLD,report_path,stdout_log_path
1,worst_kld,16.874408,rgb_texture,cone,Flying_saucer_v1_L3,-0.268759,16.874408,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_cone/Flying_saucer_v1_L3/recenter_rotx90p0_horizontaltovertical_blender_rig/Flying_saucer_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/cone/Flying_saucer_v1_L3.log
2,worst_kld,10.742174,non_texture,cone,Flying_saucer_v1_L3,0.030535,10.742174,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/non_texture/baseline_cone/Flying_saucer_v1_L3/recenter_rotx90p0_horizontaltovertical_blender_rig/Flying_saucer_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/non_texture/cone/Flying_saucer_v1_L3.log
3,worst_kld,9.579885,rgb_texture,cone,Spinning_Top_v1_L3,-0.373703,9.579885,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_cone/Spinning_Top_v1_L3/recenter_rotx90p0_horizontaltovertical_blender_rig/Spinning_Top_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/cone/Spinning_Top_v1_L3.log
4,worst_kld,8.822186,non_texture,cone,Spinning_Top_v1_L3,-0.345298,8.822186,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/non_texture/baseline_cone/Spinning_Top_v1_L3/recenter_rotx90p0_horizontaltovertical_blender_rig/Spinning_Top_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/non_texture/cone/Spinning_Top_v1_L3.log
5,worst_kld,6.653783,rgb_texture,cone,MushroomShitake_L3,-0.168114,6.653783,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_cone/MushroomShitake_L3/recenter_rotx90p0_horizontaltovertical_blender_rig/MushroomShitake_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/cone/MushroomShitake_L3.log
6,worst_kld,5.692238,rgb_texture,screen_space,Spinning_Top_v1_L3,-0.323537,5.692238,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_screen_space/Spinning_Top_v1_L3/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/Spinning_Top_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/screen_space/Spinning_Top_v1_L3.log
7,worst_kld,5.542845,rgb_texture,screen_space,Flying_saucer_v1_L3,0.087388,5.542845,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_screen_space/Flying_saucer_v1_L3/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/Flying_saucer_v1_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/screen_space/Flying_saucer_v1_L3.log
8,worst_kld,5.467701,non_texture,screen_space,UFO_v1_L2,-0.071135,5.467701,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/non_texture/baseline_screen_space/UFO_v1_L2/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/UFO_v1_L2_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/non_texture/screen_space/UFO_v1_L2.log
9,worst_kld,5.435248,rgb_texture,screen_space,UFO_v1_L2,-0.034865,5.435248,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_screen_space/UFO_v1_L2/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/UFO_v1_L2_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/screen_space/UFO_v1_L2.log
10,worst_kld,5.343572,rgb_texture,screen_space,MushroomShitake_L3,-0.153296,5.343572,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/rgb_texture/baseline_screen_space/MushroomShitake_L3/sigma0p05_recenter_rotx90p0_horizontaltovertical_blender_rig/MushroomShitake_L3_report.json,/home/29d_kon@lab.graphicon.ru/ssd1_link/projects/REPROJECTING/outputs/MeshMamba_reference_batch_20260601/_logs/rgb_texture/screen_space/MushroomShitake_L3.log
